H009,BEDFORD AVE,40.717304,-73.956872
N222,BEDFORD PARK BL,40.873244,-73.887138
N223,BEDFORD PARK BL,40.873244,-73.887138
R291,BEDFORD PARK BL,40.873244,-73.887138
N417,BEDFORD/NOSTRAN,40.689627,-73.953522
N418,BEDFORD/NOSTRAN,40.689627,-73.953522
R617,BERGEN ST,40.680829,-73.975098
R618,BERGEN ST,40.680829,-73.975098
N532,BERGEN ST,40.680829,-73.975098
N531,BERGEN ST,40.680829,-73.975098
N533,BERGEN ST,40.680829,-73.975098
B017,BEVERLY ROAD,40.644031,-73.964492
R641,BEVERLY ROAD,40.644031,-73.964492
R217A,BLEECKER ST,40.725915,-73.994659
R602,BOROUGH HALL/CT,40.692404,-73.990151
C001,BOROUGH HALL/CT,40.692404,-73.990151
R601A,BOROUGH HALL/CT,40.692404,-73.990151
R604,BOROUGH HALL/CT,40.692404,-73.990151
B010,BOTANIC GARDEN,40.670343,-73.959245
A064,BOWERY,40.72028,-73.993915
R201,BOWLING GREEN,40.704817,-74.014065
R200A,BOWLING GREEN,40.704817,-74.014065
R202,BOWLING GREEN,40.704817,-74.014065
B029,BRIGHTON BEACH,40.577621,-73.961376
B031,BRIGHTON BEACH,40.577621,-73.961376
N183,BROAD CHANNEL,40.608382,-73.815925
A083,BROAD ST,40.706476,-74.011056
A084,BROAD ST,40.706476,-74.011056
A085,BROAD ST,40.706476,-74.011056
N412,BROADWAY,40.76182,-73.925508
N124,BROADWAY-ENY,40.678334,-73.905316
N519,BROADWAY/LAFAY,40.725297,-73.996204
N519A,BROADWAY/LAFAY,40.725297,-73.996204
R326,BRONX PARK EAST,40.848828,-73.868457
R402,BROOK AVE,40.807566,-73.91924
R403,BROOK AVE,40.807566,-73.91924
R210,BROOKLYN BRIDGE,40.713889,-74.003654
R210A,BROOKLYN BRIDGE,40.713889,-74.003654
R422,BUHRE AVE,40.84681,-73.832569
R330,BURKE AVE,40.871356,-73.867164
R287,BURNSIDE AVE,40.853453,-73.907684
H033,BUSHWICK AVE,40.682829,-73.905249
